Nome;Lattes;Início do Vínculo;Fim do Vínculo;;Início no Quadriênio;Fim no Quadriênio;Participação no Quadriênio
Aldo von Wangenheim;http://lattes.cnpq.br/2828124381670231;2017-01-01;-;;2017-01-01;2020-12-31;1,0
Alex Sandro Roschildt Pinto;http://lattes.cnpq.br/0555619693238543;2018-01-01;-;;2018-01-01;2020-12-31;0,8
Antonio Augusto Medeiros Fröhlich;http://lattes.cnpq.br/7644756660823271;2017-01-01;-;;2017-01-01;2020-12-31;1,0
Carina Friedrich Dorneles;http://lattes.cnpq.br/0378897709136226;2017-01-01;-;;2017-01-01;2020-12-31;1,0
Carla Merkle Westphall;http://lattes.cnpq.br/1235242182279350;2017-01-01;-;;2017-01-01;2020-12-31;1,0
Carlos Becker Westphall;http://lattes.cnpq.br/4386203755404108;2017-01-01;-;;2017-01-01;2020-12-31;1,0
Christiane Anneliese Gresse von Wangenheim;http://lattes.cnpq.br/3879944876244096;2017-01-01;-;;2017-01-01;2020-12-31;1,0
Cristina Meinhardt;http://lattes.cnpq.br/6816603089210442;2018-01-01;-;;2018-01-01;2020-12-31;0,8
Douglas Dyllon Jeronimo de Macedo;http://lattes.cnpq.br/0149028226656519;2017-01-01;-;;2017-01-01;2020-12-31;1,0
Fabiane Barreto Vavassori Benitti;http://lattes.cnpq.br/7951999302081531;2017-01-01;-;;2017-01-01;2020-12-31;1,0
Jean Everson Martina;http://lattes.cnpq.br/3531795815749652;2017-01-01;-;;2017-01-01;2020-12-31;1,0
Frank Augusto Siqueira;http://lattes.cnpq.br/6246567808516505;2018-01-01;-;;2018-01-01;2020-12-31;0,8
José Luís Almada Güntzel;http://lattes.cnpq.br/3431795837830476;2017-01-01;-;;2017-01-01;2020-12-31;1,0
Luciana de Oliveira Rech;http://lattes.cnpq.br/5029700010533047;2017-01-01;-;;2017-01-01;2020-12-31;1,0
Luiz Cláudio Villar dos Santos;http://lattes.cnpq.br/7115792628126490;2017-01-01;-;;2017-01-01;2020-12-31;1,0
Márcio Bastos Castro;http://lattes.cnpq.br/6876016315737507;2019-01-01;-;;2019-01-01;2020-12-31;0,5
Mauro Roisenberg;http://lattes.cnpq.br/5872119613051645;2017-01-01;-;;2017-01-01;2020-12-31;1,0
Patricia Della Méa Plentz;http://lattes.cnpq.br/8496058927371924;2017-01-01;-;;2017-01-01;2020-12-31;1,0
Patrícia Vilain;http://lattes.cnpq.br/2212288622038633;2017-01-01;-;;2017-01-01;2020-12-31;1,0
Rafael de Santiago;http://lattes.cnpq.br/5073911182921995;2018-08-01;-;;2018-08-01;2020-12-31;0,6
Renato Fileto;http://lattes.cnpq.br/6405951782839858;2017-01-01;-;;2017-01-01;2020-12-31;1,0
Ricardo Azambuja Silveira;http://lattes.cnpq.br/8018788492846096;2017-01-01;-;;2017-01-01;2020-12-31;1,0
Ricardo Felipe Custodio;http://lattes.cnpq.br/9716092379282146;2017-01-01;-;;2017-01-01;2020-12-31;1,0
Ronaldo dos Santos Mello;http://lattes.cnpq.br/5011370918857999;2017-01-01;-;;2017-01-01;2020-12-31;1,0
Vania Bogorny;http://lattes.cnpq.br/9045199822095908;2017-01-01;-;;2017-01-01;2020-12-31;1,0
Mário Antônio Ribeiro Dantas;http://lattes.cnpq.br/2900995280822495;2017-01-01;2017-12-31;;2017-01-01;2017-12-31;0,2
