;Nome;Lattes;Início do Vínculo;Fim do Vínculo;;Início no Quadriênio;Fim no Quadriênio;Participação no Quadriênio;;;;;
1;Alejandro Rafael García Ramírez;http://lattes.cnpq.br/7650712967257738;2007-03-01;-;;2017-01-01;2020-12-31;1,0;;;;;
2;Aluizio Haendchen Filho;http://lattes.cnpq.br/7194396439993622;2018-05-16;-;;2018-05-16;2020-12-31;0,7;;;;;
3;André Luís Alice Raabe;http://lattes.cnpq.br/3163271519013006;2007-03-01;-;;2017-01-01;2020-12-31;1,0;;;;;
4;Anita Maria da Rocha Fernandes;http://lattes.cnpq.br/8716094042714766;2007-03-01;-;;2017-01-01;2020-12-31;1,0;;;;;
5;Antonio Carlos Sobieransky;http://lattes.cnpq.br/3516067759610109;2015-03-02;2018-03-22;;2017-01-01;2018-03-22;0,3;;;;;
6;Cesar Albenes Zeferino;http://lattes.cnpq.br/9888386354516064;2007-03-01;-;;2017-01-01;2020-12-31;1,0;;;;;
7;Eros Comunello;http://lattes.cnpq.br/6848996939728495;2007-03-01;-;;2017-01-01;2020-12-31;1,0;;;;;
8;Laio Oriel Seman;http://lattes.cnpq.br/8450346716756143;2019-08-01;-;;2019-08-01;2020-12-31;0,4;;;;;
9;Marcello Thry;http://lattes.cnpq.br/4748551071146032;2007-03-01;-;;2017-01-01;2020-12-31;1,0;;;;;
10;Michelle Silva Wangham;http://lattes.cnpq.br/8951163088992771;2008-03-01;-;;2017-01-01;2020-12-31;1,0;;;;;
11;Rafael de Santiago;http://lattes.cnpq.br/5073911182921995;2017-08-01;2018-07-16;;2017-08-01;2018-07-16;0,2;;;;;
12;Raimundo Celeste Ghizone Teive;http://lattes.cnpq.br/6094793991932450;2007-03-01;-;;2017-01-01;2020-12-31;1,0;;;;;
13;Rudimar Luís Scaranto Dazzi;http://lattes.cnpq.br/9340343036686762;2010-03-01;-;;2017-01-01;2020-12-31;1,0;;;;;
14;Valderi Reis Quietinho Leithardt;http://lattes.cnpq.br/9051317571298260;2016-10-19;2020-08-10;;2017-01-01;2020-08-10;0,9;;;;;
15;Wemerson Délcio Parreira;http://lattes.cnpq.br/0878310617104095;2018-08-01;-;;2018-08-01;2020-12-31;0,6;;;;;
;;;;;;Número médio de docentes;;12,1;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
